id_orden,id_cliente,segmento_cliente,fecha_hora_llegada,tipo_servicio,bolsas_delicada,bolsas_color,bolsas_blanca,bolsas_total
O2025-000001,C119,restaurante,2025-01-01 05:56:28,normal,0,5,0,5
O2025-000002,C158,restaurante,2025-01-01 06:45:00,normal,0,1,1,2
O2025-000003,C080,gimnasio,2025-01-01 07:10:26,normal,0,5,0,5
O2025-000004,C030,hotel,2025-01-01 07:34:07,normal,0,0,1,1
O2025-000005,C101,gimnasio,2025-01-01 07:43:35,normal,0,3,3,6
O2025-000006,C099,gimnasio,2025-01-01 07:47:30,normal,0,1,0,1
O2025-000007,C017,hotel,2025-01-01 07:58:46,normal,13,0,0,13
O2025-000008,C150,restaurante,2025-01-01 08:10:42,normal,0,2,3,5
O2025-000009,C027,hotel,2025-01-01 08:16:02,normal,0,2,8,10
O2025-000010,C019,hotel,2025-01-01 08:16:42,normal,0,0,8,8
O2025-000011,C087,gimnasio,2025-01-01 08:16:47,normal,1,4,3,8
O2025-000012,C078,gimnasio,2025-01-01 08:17:42,normal,0,2,1,3
O2025-000013,C067,gimnasio,2025-01-01 08:28:11,normal,0,3,0,3
O2025-000014,C132,restaurante,2025-01-01 08:50:08,normal,0,1,0,1
O2025-000015,C049,clínica,2025-01-01 08:56:02,normal,1,0,2,3
O2025-000016,C022,hotel,2025-01-01 08:57:18,normal,0,0,10,10
O2025-000017,C100,gimnasio,2025-01-01 09:04:32,normal,0,2,2,4
O2025-000018,C126,restaurante,2025-01-01 09:05:10,rápido,0,0,1,1
O2025-000019,C047,clínica,2025-01-01 09:22:05,normal,0,0,8,8
O2025-000020,C108,restaurante,2025-01-01 09:24:13,normal,0,0,2,2
O2025-000021,C136,restaurante,2025-01-01 09:25:45,normal,0,2,3,5
O2025-000022,C052,clínica,2025-01-01 09:35:42,normal,0,0,4,4
O2025-000023,C047,clínica,2025-01-01 09:41:51,normal,1,2,5,8
O2025-000024,C008,hotel,2025-01-01 09:41:57,normal,1,0,14,15
O2025-000025,C021,hotel,2025-01-01 09:58:18,normal,0,0,6,6
O2025-000026,C158,restaurante,2025-01-01 10:12:54,normal,0,1,1,2
O2025-000027,C003,hotel,2025-01-01 10:14:54,normal,1,0,5,6
O2025-000028,C052,clínica,2025-01-01 10:39:50,normal,1,2,1,4
O2025-000029,C057,clínica,2025-01-01 10:41:12,rápido,0,0,3,3
O2025-000030,C159,restaurante,2025-01-01 11:24:11,normal,0,1,2,3
O2025-000031,C094,gimnasio,2025-01-01 12:37:58,normal,0,2,0,2
O2025-000032,C077,gimnasio,2025-01-01 12:51:53,normal,0,2,1,3
O2025-000033,C050,clínica,2025-01-01 13:04:32,rápido,0,0,2,2
O2025-000034,C028,hotel,2025-01-01 13:12:20,normal,0,0,5,5
O2025-000035,C092,gimnasio,2025-01-01 13:16:48,normal,0,1,1,2
O2025-000036,C069,gimnasio,2025-01-01 13:24:46,normal,0,4,0,4
O2025-000037,C009,hotel,2025-01-01 13:29:31,normal,0,1,5,6
O2025-000038,C059,clínica,2025-01-01 13:41:46,normal,1,1,3,5
O2025-000039,C106,restaurante,2025-01-01 14:06:47,rápido,0,2,2,4
O2025-000040,C144,restaurante,2025-01-01 14:17:07,normal,0,0,5,5
O2025-000041,C014,hotel,2025-01-01 14:40:17,normal,1,0,3,4
O2025-000042,C145,restaurante,2025-01-01 15:08:30,rápido,0,1,1,2
O2025-000043,C145,restaurante,2025-01-01 15:19:53,normal,0,2,2,4
O2025-000044,C158,restaurante,2025-01-01 15:25:23,normal,0,0,1,1
O2025-000045,C064,clínica,2025-01-01 15:35:31,normal,0,0,10,10
O2025-000046,C050,clínica,2025-01-01 15:51:29,normal,0,0,3,3
