id_orden,id_cliente,segmento_cliente,fecha_hora_llegada,tipo_servicio,bolsas_delicada,bolsas_color,bolsas_blanca,bolsas_total,tipos_presentes
O2025-010870,C019,hotel,6/1/2025 7:37,normal,0,0,4,4,1
O2025-010871,C153,restaurante,6/1/2025 8:00,rápido,0,1,1,2,2
O2025-010872,C011,hotel,6/1/2025 8:05,normal,0,0,3,3,1
O2025-010873,C085,gimnasio,6/1/2025 8:08,normal,0,0,3,3,1
O2025-010874,C079,gimnasio,6/1/2025 8:10,normal,0,4,0,4,1
O2025-010875,C128,restaurante,6/1/2025 8:16,normal,0,0,1,1,1
O2025-010876,C009,hotel,6/1/2025 8:22,normal,0,0,7,7,1
O2025-010877,C141,restaurante,6/1/2025 8:22,normal,0,1,2,3,2
O2025-010878,C023,hotel,6/1/2025 8:36,normal,0,0,6,6,1
O2025-010879,C013,hotel,6/1/2025 8:36,normal,0,1,9,10,2
O2025-010880,C010,hotel,6/1/2025 8:39,normal,0,0,13,13,1
O2025-010881,C010,hotel,6/1/2025 8:40,normal,0,0,6,6,1
O2025-010882,C096,gimnasio,6/1/2025 8:43,normal,0,4,0,4,1
O2025-010883,C018,hotel,6/1/2025 8:53,normal,0,0,2,2,1
O2025-010884,C152,restaurante,6/1/2025 9:10,rápido,0,1,0,1,1
O2025-010885,C139,restaurante,6/1/2025 9:40,normal,0,0,1,1,1
O2025-010886,C125,restaurante,6/1/2025 9:45,rápido,0,1,1,2,2
O2025-010887,C011,hotel,6/1/2025 10:00,normal,0,0,6,6,1
O2025-010888,C016,hotel,6/1/2025 10:02,rápido,0,2,5,7,2
O2025-010889,C152,restaurante,6/1/2025 10:38,rápido,0,1,0,1,1
O2025-010890,C123,restaurante,6/1/2025 11:38,normal,1,1,1,3,3
O2025-010891,C032,clínica,6/1/2025 11:46,normal,0,0,10,10,1
O2025-010892,C006,hotel,6/1/2025 12:29,normal,0,1,3,4,2
O2025-010893,C009,hotel,6/1/2025 12:58,normal,0,0,8,8,1
O2025-010894,C095,gimnasio,6/1/2025 13:24,normal,0,2,2,4,2
O2025-010895,C014,hotel,6/1/2025 13:44,normal,0,0,4,4,1
O2025-010896,C021,hotel,6/1/2025 13:48,normal,0,0,5,5,1
O2025-010897,C022,hotel,6/1/2025 13:52,normal,1,0,5,6,2
O2025-010898,C030,hotel,6/1/2025 13:58,normal,0,0,3,3,1
O2025-010899,C109,restaurante,6/1/2025 13:59,normal,0,1,0,1,1
O2025-010900,C001,hotel,6/1/2025 13:59,normal,0,0,13,13,1
O2025-010901,C115,restaurante,6/1/2025 14:08,normal,0,1,1,2,2
O2025-010902,C144,restaurante,6/1/2025 14:23,rápido,0,1,1,2,2
O2025-010903,C027,hotel,6/1/2025 14:51,normal,0,0,5,5,1
O2025-010904,C141,restaurante,6/1/2025 14:59,normal,0,0,2,2,1
O2025-010905,C134,restaurante,6/1/2025 15:01,rápido,0,1,1,2,2
O2025-010906,C026,hotel,6/1/2025 16:04,normal,0,0,4,4,1
O2025-010907,C130,restaurante,6/1/2025 16:52,normal,0,5,0,5,1
O2025-010908,C138,restaurante,6/1/2025 17:01,normal,0,4,0,4,1
O2025-010909,C014,hotel,6/1/2025 17:54,normal,0,0,3,3,1
O2025-010910,C089,gimnasio,6/1/2025 18:13,normal,0,2,0,2,1
O2025-010911,C113,restaurante,6/1/2025 20:09,rápido,0,1,1,2,2
O2025-010912,C160,restaurante,6/1/2025 20:33,normal,0,0,3,3,1
O2025-010913,C007,hotel,6/1/2025 20:35,normal,0,2,7,9,2
O2025-010914,C089,gimnasio,6/1/2025 20:44,normal,0,2,1,3,2
O2025-010915,C141,restaurante,6/1/2025 20:45,normal,0,1,1,2,2
O2025-010916,C149,restaurante,6/1/2025 20:52,normal,0,1,1,2,2
O2025-010917,C081,gimnasio,6/1/2025 21:09,normal,0,0,5,5,1
O2025-010918,C150,restaurante,6/1/2025 21:53,rápido,0,3,0,3,1
O2025-010919,C110,restaurante,6/1/2025 22:05,normal,0,0,2,2,1
O2025-010920,C025,hotel,6/2/2025 6:52,rápido,0,0,5,5,1
O2025-010921,C103,gimnasio,6/2/2025 7:09,normal,0,0,2,2,1
O2025-010922,C077,gimnasio,6/2/2025 7:31,normal,0,2,0,2,1
O2025-010923,C001,hotel,6/2/2025 7:39,normal,0,1,4,5,2
O2025-010924,C049,clínica,6/2/2025 8:00,normal,0,0,6,6,1
O2025-010925,C067,gimnasio,6/2/2025 8:09,normal,0,3,0,3,1
O2025-010926,C014,hotel,6/2/2025 8:10,normal,0,1,2,3,2
O2025-010927,C105,gimnasio,6/2/2025 8:12,normal,0,8,0,8,1
O2025-010928,C049,clínica,6/2/2025 8:13,normal,0,2,3,5,2
O2025-010929,C014,hotel,6/2/2025 8:17,normal,0,0,6,6,1
O2025-010930,C060,clínica,6/2/2025 8:24,normal,0,1,3,4,2
O2025-010931,C077,gimnasio,6/2/2025 8:30,normal,0,5,0,5,1
O2025-010932,C019,hotel,6/2/2025 8:33,normal,0,0,6,6,1
O2025-010933,C009,hotel,6/2/2025 8:45,normal,0,0,13,13,1
O2025-010934,C047,clínica,6/2/2025 8:50,normal,0,2,3,5,2
O2025-010935,C025,hotel,6/2/2025 8:55,normal,0,0,9,9,1
O2025-010936,C042,clínica,6/2/2025 8:55,rápido,0,0,3,3,1
O2025-010937,C130,restaurante,6/2/2025 8:59,normal,0,0,3,3,1
O2025-010938,C021,hotel,6/2/2025 9:03,normal,0,0,8,8,1
O2025-010939,C013,hotel,6/2/2025 9:04,normal,0,0,6,6,1
O2025-010940,C110,restaurante,6/2/2025 9:11,rápido,0,1,0,1,1
O2025-010941,C057,clínica,6/2/2025 9:15,normal,1,1,2,4,3
O2025-010942,C012,hotel,6/2/2025 9:36,normal,0,0,6,6,1
O2025-010943,C039,clínica,6/2/2025 9:44,normal,0,1,1,2,2
O2025-010944,C057,clínica,6/2/2025 9:53,normal,0,1,1,2,2
O2025-010945,C064,clínica,6/2/2025 10:06,normal,1,0,2,3,2
O2025-010946,C018,hotel,6/2/2025 10:11,normal,0,0,3,3,1
O2025-010947,C060,clínica,6/2/2025 10:59,normal,0,0,7,7,1
O2025-010948,C058,clínica,6/2/2025 11:37,normal,0,0,4,4,1
O2025-010949,C038,clínica,6/2/2025 11:38,normal,0,0,2,2,1
O2025-010950,C105,gimnasio,6/2/2025 12:03,normal,0,6,0,6,1
O2025-010951,C068,gimnasio,6/2/2025 12:24,normal,1,0,4,5,2
O2025-010952,C030,hotel,6/2/2025 12:33,rápido,0,0,10,10,1
O2025-010953,C078,gimnasio,6/2/2025 13:02,normal,0,2,1,3,2
O2025-010954,C102,gimnasio,6/2/2025 13:05,normal,0,3,0,3,1
O2025-010955,C021,hotel,6/2/2025 13:44,normal,0,0,4,4,1
O2025-010956,C002,hotel,6/2/2025 13:50,rápido,0,0,2,2,1
O2025-010957,C015,hotel,6/2/2025 13:51,normal,0,0,2,2,1
O2025-010958,C049,clínica,6/2/2025 13:53,normal,1,0,6,7,2
O2025-010959,C019,hotel,6/2/2025 14:05,normal,0,0,3,3,1
O2025-010960,C041,clínica,6/2/2025 14:20,normal,0,2,3,5,2
O2025-010961,C009,hotel,6/2/2025 14:29,normal,0,8,0,8,1
O2025-010962,C008,hotel,6/2/2025 14:38,normal,0,2,6,8,2
O2025-010963,C037,clínica,6/2/2025 14:50,rápido,0,0,3,3,1
